County,Median_Household_Income,Bachelors_Degree_Pct,Unemployment_Rate,No_Health_Insurance_Pct,Median_Gross_Rent,Broadband_Pct,High_School_Grad_Pct,Upward_Mobility,Gini_Index,UOI_ALL,fips
ALAMEDA,112017,49.6,5.0,4.3,2043,92.2,12.7,40.31767108015683,0.4633,0.6657309646065653,001
AMADOR,69955,19.5,6.8,4.7,1126,85.9,11.3,22.659208865198487,0.4539,-0.10974399540459746,005
BUTTE,59863,29.8,7.2,6.4,1172,89.0,17.9,34.9299012757517,0.4885,0.18072117157539547,007
CALAVERAS,70119,19.9,6.8,6.6,1430,85.9,10.0,31.05865201300886,0.4326,-0.11427857486312358,009
COLUSA,61861,14.7,5.5,8.4,974,79.0,7.9,12.585083536563172,0.4689,-0.7547907967792165,011
CONTRA COSTA,110455,44.1,5.8,4.7,2061,94.0,11.3,33.26938622844801,0.468,0.4119644039687663,013
DEL NORTE,53280,16.1,7.5,5.2,999,88.4,13.2,25.770129594221373,0.4438,-0.03371589276580659,015
EL DORADO,88770,36.8,4.7,4.1,1409,90.2,13.1,22.296310583308077,0.4727,0.2957015917600475,017
FRESNO,61276,22.6,8.8,7.3,1098,83.7,11.8,33.31592802906686,0.4737,-0.3080705818829247,019
GLENN,56332,14.9,7.1,10.0,954,82.7,9.3,35.091968632341306,0.426,-0.30232381236375705,021
HUMBOLDT,53350,31.2,9.4,7.7,1079,87.9,18.2,24.985357854047088,0.4853,-0.13513710386239333,023
IMPERIAL,49078,15.2,13.9,6.6,892,85.3,10.3,15.31484962406015,0.4578,-0.8318710540182475,025
INYO,60925,27.3,4.3,7.1,988,83.2,11.2,28.86543424002707,0.4423,0.03986439791545853,027
KERN,58824,17.6,8.9,8.0,1063,85.8,11.9,18.148951554591466,0.4649,-0.5201375208035364,029
KINGS,63267,14.3,9.1,7.6,1098,85.2,14.9,33.92392201689211,0.4105,0.016992111655676972,031
LAKE,53399,17.5,10.1,6.7,1116,82.9,16.6,47.78866378833167,0.5021,-0.18305635896621017,033
LASSEN,59292,11.8,6.9,5.8,969,83.9,23.2,15.22630545892687,0.4034,0.2632448978736954,035
LOS ANGELES,76367,34.0,7.0,9.1,1653,88.9,9.7,31.776297625621204,0.4969,-0.3335907820933227,037
MADERA,66709,16.4,10.5,8.2,1120,87.2,12.2,45.83752350137729,0.4388,-0.06024146430995156,039
MARIN,131008,60.1,5.2,3.5,2307,93.7,13.0,30.603130296082142,0.5095,0.5349831097265587,041
MARIPOSA,53304,28.9,9.7,6.5,1058,80.9,14.0,8.198518217801684,0.4369,-0.47527851867680915,043
MENDOCINO,56378,24.5,8.5,9.7,1176,83.6,11.4,29.574810388416456,0.4682,-0.47876497858782446,045
MERCED,58861,14.1,11.1,8.8,1125,88.6,12.2,32.57877784534991,0.4639,-0.43719885917710744,047
MODOC,51090,19.7,9.9,12.0,748,76.4,15.5,24.02291595863475,0.4089,-0.4719213072144137,049
MONO,71138,29.5,2.4,12.5,1228,90.7,11.6,20.701766292821148,0.3915,0.17940871629683278,051
MONTEREY,82013,26.5,5.5,9.9,1718,90.5,11.4,34.69263742219448,0.4525,-0.022822125353947925,053
NAPA,97498,37.0,4.9,6.0,1880,91.7,10.9,30.67860445790722,0.477,0.17447664773853944,055
NEVADA,74617,38.7,4.2,5.5,1380,88.9,9.7,29.92912988211531,0.4745,0.15191182411704357,057
ORANGE,100485,42.1,5.4,7.1,2057,92.9,12.4,28.5878815023354,0.4662,0.21316268541933325,059
PLACER,99734,41.6,4.3,3.4,1734,91.9,12.7,29.64927332761355,0.4396,0.6291563601886854,061
PLUMAS,57885,23.0,8.2,4.4,1031,82.7,15.9,15.481296758104737,0.4648,-0.21682245761024033,063
RIVERSIDE,76066,23.5,7.2,8.3,1552,90.8,11.4,31.21161940247016,0.4524,-0.09481791255099253,065
SACRAMENTO,76422,32.0,6.6,5.4,1434,91.8,13.8,32.88702637847989,0.4456,0.3484737745015617,067
SAN BENITO,95606,20.5,7.1,6.4,1703,92.1,11.9,29.52285474300268,0.4076,0.2380898631254943,069
SAN BERNARDINO,70287,21.9,7.5,8.5,1427,89.3,11.3,29.04037158750849,0.439,-0.14659510739047535,071
SAN DIEGO,88240,40.3,6.6,7.5,1842,93.0,14.5,32.63388898074524,0.4615,0.26754798594055385,073
SAN FRANCISCO,126187,59.5,5.3,3.6,2130,90.6,15.4,43.883194034275554,0.5118,0.7380870654895628,075
SAN JOAQUIN,74962,19.5,7.3,6.4,1387,87.9,11.3,36.183122899445905,0.4463,0.01197336606426722,077
SAN LUIS OBISPO,82514,36.7,5.1,5.9,1654,90.7,17.6,28.899928140719215,0.451,0.4648499529061443,079
SAN MATEO,136837,52.5,4.6,3.8,2599,93.4,12.0,38.85596574188704,0.4889,0.5952706695339314,081
SANTA BARBARA,84356,35.1,6.1,10.1,1810,90.8,17.5,29.457804514970608,0.4841,0.041137105774756294,083
SANTA CLARA,140258,54.4,4.5,4.1,2530,94.1,14.4,38.6318484180562,0.4674,0.8303877212864077,085
SANTA CRUZ,96093,41.9,6.4,5.4,1925,91.6,15.0,37.103355781303506,0.4721,0.4153037169432799,087
SHASTA,61937,22.6,6.5,6.8,1140,87.1,14.2,35.88039138256329,0.4659,0.070817186268537,089
SIERRA,56152,22.3,9.0,15.5,978,73.7,10.7,27.66460531102219,0.4544,-0.9793670842708332,091
SISKIYOU,49857,21.5,7.9,6.5,893,82.8,14.6,29.418025127193438,0.465,-0.16956028568312162,093
SOLANO,89648,27.8,6.0,4.8,1802,92.7,12.8,29.498606035217474,0.4173,0.3937743453486873,095
SONOMA,91607,37.1,5.1,5.9,1856,92.4,13.1,37.06851405742672,0.4541,0.43161502516431305,097
STANISLAUS,68368,17.9,8.4,6.1,1315,88.7,10.4,32.51923785156326,0.4397,-0.10185636277561885,099
SUTTER,67003,20.0,7.6,6.6,1167,86.8,13.1,26.556863041384133,0.4563,-0.12610491988778222,101
TEHAMA,52901,17.0,8.1,6.5,1028,82.3,9.7,30.01941652124757,0.5145,-0.633215138113584,103
TRINITY,42206,18.6,5.8,10.5,869,76.1,17.3,19.665438049333712,0.4947,-0.614208553853003,105
TULARE,57394,15.2,10.2,7.7,1037,83.4,10.0,34.132604173969945,0.4586,-0.47535721885165344,107
TUOLUMNE,66846,24.6,8.1,6.5,1105,84.9,14.7,31.765587116358834,0.4501,0.02410518873817889,109
VENTURA,94150,34.0,5.6,8.4,1976,91.1,9.2,19.794383723741298,0.4479,-0.15720813837809577,111
YOLO,78386,43.1,5.6,4.5,1475,90.6,19.1,35.93812323326917,0.4918,0.5745911673585117,113
YUBA,62666,17.7,6.5,7.1,1060,87.7,14.2,28.574652742157202,0.432,0.08471388920179652,115
